,county,median_family,median_household,n_households,per_capita,population,state
0,New York County,"$84,627","$69,659","736,192","$62,498","1,605,272",New York
1,Arlington,"$139,244","$103,208","94,454","$62,018","214,861",Virginia
2,Falls Church City,"$152,857","$120,000","5,020","$59,088","12,731",Virginia
3,Marin,"$117,357","$90,839","102,912","$56,791","254,643",California
4,Alexandria City,"$107,511","$85,706","65,369","$54,608","143,684",Virginia
5,Pitkin,"$93,981","$72,745","7,507","$51,814","17,173",Colorado
6,Los Alamos,"$124,979","$106,686","7,590","$51,044","17,979",New Mexico
7,Fairfax County,"$128,596","$110,292","389,908","$50,532","1,101,071",Virginia
8,Hunterdon,"$125,828","$106,143","46,816","$50,349","127,047",New Jersey
9,Borden,"$76,250","$71,607",225,"$50,042",649,Texas
10,Montgomery,"$117,408","$98,221","360,563","$49,038","989,474",Maryland
11,Morris,"$117,683","$98,633","179,665","$48,814","495,261",New Jersey
12,Fairfield,"$104,250","$82,283","332,655","$48,721","926,233",Connecticut
13,San Francisco,"$90,116","$75,604","345,344","$48,486","817,501",California
14,Howard,"$128,657","$109,865","106,142","$48,172","293,821",Maryland
15,Westchester,"$105,341","$81,946","343,561","$47,984","956,283",New York
16,Somerset,"$117,393","$99,020","115,531","$47,803","326,207",New Jersey
17,Nantucket,"$92,500","$85,478","4,069","$47,331","10,224",Massachusetts
18,Loudoun,"$133,550","$122,238","106,997","$46,565","326,477",Virginia
19,North Slope,"$82,500","$80,761","1,990","$46,457","9,484",Alaska
20,San Mateo,"$105,844","$88,202","257,941","$45,732","729,543",California
21,Kalawao,"$88,750","$59,375",46,"$45,515",71,Hawaii
22,Washington City,"$79,665","$65,830","263,649","$45,290","619,371",District of Columbia
23,Goochland,"$92,042","$80,976","8,058","$45,039","21,565",Virginia
24,Norfolk,"$108,943","$84,916","257,451","$44,692","677,296",Massachusetts
25,Fairfax City,"$113,538","$97,242","8,492","$44,345","23,027",Virginia
26,Douglas,"$112,930","$101,591","103,780","$43,634","293,014",Colorado
27,Teton,"$83,558","$68,078","7,583","$43,444","21,575",Wyoming
28,Bergen,"$102,222","$83,794","335,422","$43,347","912,795",New Jersey
29,Middlesex,"$104,032","$82,090","581,120","$42,861","1,522,533",Massachusetts
30,Monmouth,"$105,971","$84,526","233,909","$42,749","629,735",New Jersey
31,Summit,"$95,879","$83,336","13,627","$42,462","37,232",Utah
32,Nassau,"$112,874","$97,690","441,955","$42,400","1,343,765",New York
33,Mineral,"$68,438","$47,083",393,"$42,255",761,Colorado
34,Chester,"$105,278","$86,050","184,788","$42,210","503,075",Pennsylvania
35,Ozaukee,"$92,262","$75,457","34,108","$42,041","86,708",Wisconsin
36,Clear Creek,"$89,583","$67,259","4,024","$41,716","9,048",Colorado
37,Santa Clara,"$103,983","$91,702","609,377","$41,513","1,812,208",California
38,Montgomery,"$99,587","$79,183","307,488","$41,472","804,621",Pennsylvania
39,Williamson,"$104,796","$89,779","66,364","$41,292","188,935",Tennessee
40,San Miguel,"$77,708","$63,594","3,234","$40,827","7,496",Colorado
41,Anne Arundel,"$101,268","$87,430","199,904","$40,415","544,426",Maryland
42,Putnam,"$109,188","$95,117","34,496","$40,309","99,718",New York
43,Newport,"$88,962","$71,713","34,774","$40,293","82,545",Rhode Island
44,Delaware County,"$103,564","$89,757","64,208","$40,189","178,139",Ohio
45,Middlesex,"$98,501","$76,994","66,141","$39,992","165,690",Connecticut
46,King,"$92,510","$71,811","802,606","$39,911","1,974,567",Washington
47,Fauquier,"$103,556","$88,409","23,130","$39,600","66,015",Virginia
