,user_id,timestamp,latlng,lat,lng,tweet,county,mean_income,population,text
567,USER_2e5f8774,2010-03-03T02:06:15,"ÜT: 39.669307,-79.85002",39.669307,-79.85002,@USER_2b2bd61b light skin free way and shit...lol Look like you sell bean pies,Monongalia,121634.0,1257.0,"@USER_2b2bd61b light skin free way and shit...lol Look like you sell bean pies @USER_7ac8dee6 Hey Cuz...Where u been at? Good Morning world... SlowJamz or Rap today ? Aye baby am i crazy? or was that tweet about me. You say maybe, well your crazy. Because i know im too fly. @USER_a88583ac F=ma @USER_fec9be80 your on 70? where the hell are u goin...its wed. @USER_cb10b466 nooo...lol @USER_f57bb122 so its been raining? Bout to finally get out of bed... Pussy is only pussy and i get it when i need it. @USER_19ee25ab real random! @USER_a57625a4 that would suck! smh @USER_4e5bb214 true! You cant give women the attention they want. Once they get it they pay you no attention. @USER_313606bf o, tru @USER_a48db5e1 lmfao @USER_f33607a3 yea, dats my shit..lol @USER_5e49495b i will make a way if your treating...lol This Brutha group is chillz. ituning it up. Mac shit ! #Realthugs will tell your girl she phat as shit. While you holding her hand @USER_f25ba984 Go! Peer pressure! Have you ever heard Food is the way to a mans heart? i dont think she got the memo...lol #Subtweet Okay im done...lol almost that time... @USER_136b9b4a lmfao...look like somebody bout 2 be eating ass in that pic...smh @USER_b71ed7f4 naw i dont...lmao. Stay home alot, no tv. Just thoughts @USER_1bf6f77a wats confusing??? Im cool...but a few hate @USER_a88583ac 11am @USER_a88583ac iam blaming twitter..lol @USER_dfea9c35 Yea, i play acoustic Hoes, are nothing more than hoes. They cant keep their legs closed. Slow motion is better than No motion. Never stop progressing This white bitch next 2 me stink like shit...smh She sitting like shoulder length to me. And she keep looking at my screen. I know she see this tweet...smh I need to get up & go to class because if this chick ask me another question. Ima pack her ass I cant call it. #SomethingAintRight @USER_979c9a44 college party @USER_136b9b4a Damn...lol Yea he got a car tho. But if you dont got john # hit lloyd up for me...lol @USER_a88583ac me..lol Ima cool cat on life 9 Stomach touching my back! smh Gotta eat now! Whats up ppl Women that cant get in touch, Are still feeling me. My mind is mad at my heart. @USER_5c3ffa2f I fucs wit lupe My eyes are so heavy @USER_5c3ffa2f pow...lol @USER_f33607a3 y u shakin ya head ms. Smelling like burberry colone @USER_1535af14 girl u know u bad gurl.....lol Drunker than a motherfucker...lol But ima bout 2 end this nite alone as usually ....lol Wtf was i talkin bout last nite @USER_1535af14 yes it was...lol"
656,USER_cd29704a,2010-03-03T04:25:36,"ÜT: 26.151025,-80.120936",26.151025,-80.120936,@USER_9d8eecaa lol can i have yours hahahhahahaaaaa,Broward,92916.0,1380.0,"@USER_9d8eecaa lol can i have yours hahahhahahaaaaa @USER_9d8eecaa (cheesing) :-D yeah right lol @USER_20780314 hahahhaaa i wanna play (humph) @USER_34f7b18a that's kool. ;-) @USER_9d8eecaa ok then bring'em @USER_34f7b18a im doing tremendously well thank you. @USER_9d8eecaa lmao yeah yeah yeah! shut up! where you from? @USER_9d8eecaa are you telling or asking? @USER_9d8eecaa i said it for both ways... but you dnt have to if you dnt want just saying @USER_9d8eecaa No. 1st time i seen you. @USER_c5f00de2 @USER_cd29704a Waka Flocka Flame!!!! ---lmao @USER_c5f00de2 ipromise! @USER_c5f00de2 ughhhhhh cheesecake!!!!! well then i dnt promise hurry up! @USER_e56afc79 I LIKE YOU BKGRD PIC ON THE LEFT..... #nice @USER_c5f00de2 who??? @USER_9fc012e1 DAMN YOUR FINALLY ON LINE HOMIE!!!! @USER_20780314 Brooklyn's Finest & Alice In Wonderland comes out friday! YAY --- WE GOING TOGETHER??? @USER_20780314 LMAO NO FL RT @USER_e6d3453d: OH SHIT!!! *Duck* lol ya'll stop dis shit lol RT @USER_cd29704a @USER_f6fd3b3e Haha *high five----virtual HIGH-5 coming ur way sooo @ ... @USER_48b79a87 your welcome Now I'm in love with Marc Bell his artistic work of art is just outstandingly breath taking. I can stare at his work all day Rock J. Walker is very talented himself. He gets every little detail as well as Marc Bell. I have to do more research on them when I go home @USER_e539ecd4 @USER_a3f9484b ight my to favorite Host - SO FAR EVERYTHING IS GOING ACCORDING TO PLAN. IM GOING TO SET A MEETING FOR EVERYONE @USER_e539ecd4 @USER_a3f9484b SO SEND ME YOU AVAILABILITY THROUGH A DM PLEASE AND THANK YOU! @USER_b3bdd029 lmao why? @USER_067e0c87 yea i know. where you going? SHOUTOUT 2ALL THE BECKZ iCAMACROSS @USER_8166e580 @USER_75ca71d4 @USER_2ac84d7c @USER_ac9da2f2 @USER_2d2346d4 @USER_0372f59f @USER_ccecedc9 @USER_44920d9f @USER_b88f61f0 hahahhahaaaa i just did lol #FollowFriday @USER_32a394af #FollowFriday @USER_ebbd98f0 @USER_32a394af LOL nothing much but hanging n you? #FollowFriday @USER_b300ea8f Gone missing Finally reached home not tolong ago. Goodnight RT @USER_8fe38169: @USER_e968a207 @USER_8fe38169 @USER_e968a207 @USER_8fe38169 @USER_e968a207 @USER_8fe38169 @USER_e968a207 @USER_8fe38169 (retweet) @USER_a3f9484b yo! yo! yo! mic check 1,2... 1, 2! lol i love my life Do i hear a 3 ! ? ! @USER_8b0d919a #TruthIs @USER_0874d64d is gay @USER_a3f9484b hahahaaa hehheheeeee @USER_a3f9484b idk yet any thing in mind? @USER_8fe38169 Lol (thinking & looking in the both calendar books) almost ready when you are lol @USER_a3f9484b WHERE IS IT? @USER_8f283901 thats wussup where did you go? Club Cinema on swole tonight! Like wow I can't wait to go inside! Ok its crazy baning in here but I'm ready to go home RT @USER_e513cbc9: you just told me to follow back & yo page is private #AccessDenied"
1159,USER_84c6cec6,2010-03-04T00:31:16,"ÜT: 34.88803,-120.410608",34.88803,-120.410608,@USER_ba827fbc That's good. :D,Santa Barbara,102569.0,886.0,"My mom is being such a douche today. Why did I move back? Whyyyy??? Alex Lambert would be so cute if he got a friggin haircut. And I really like Andrew. @USER_06c976cf I've googled.. and see it nowhere... except stupid ONTD.. I doubt it is. @USER_423eb22f yup yup. brynniiee@gmail lol :D @USER_4849db83 lmao. It would be hilarious tho. Ya, I'm sick. I need... Food and a nap. @USER_ba827fbc That's good. :D OMG WAIT WHAT. so sad. so sad. @USER_7d867902 Where at?! @USER_0b2cd4ef umm.. yeah, I have like 1 RL friend. Why am I on a Sonic list?? Why no updates today? I need to find something to read.... @USER_ba827fbc I love that movie. Have fun. :) i'm bored, you guys. someone entertain me. @USER_423eb22f goodnight sleep tight don't let the bedbugs bite :) ACitD.... Oh my god. @USER_0b2cd4ef A Constant in the Darkness. It's so amazing. I have a horrible headache.... And someone stole the ibuprofen from my purse. :( Omg fine. Someone at least rec me something to read? B/E.. Not too many chapters in yet..AH would be nice.. Thanks. @USER_7b42d1da lol. yup! :) she's pretty awesome."
2666,USER_e4b63c5e,2010-03-05T01:02:06,"ÜT: 40.704765,-73.72184",40.704765,-73.72184,@USER_0f000fe4 wrddd like wth? lmaoo he wont be ite !,Nassau,103214.0,1474.0,"@USER_0f000fe4 wrddd like wth? lmaoo he wont be ite ! @USER_0f000fe4 yeahhh like wtf? niqquh how u find my twitter lol @USER_f9ab444e lol i knoeee i jus peeped ! @USER_70a847ac lolll pshh u betta not niqqus might be fightin deadass @USER_237dd848 lmaooo hahahaha damnnn u tight fam ! its all good thoee not everybody can be as real as elmont ! @USER_237dd848 lmaooo i aintt got nuffin else to say ! yo good luck on ya qame saturday fam ! lol RT @USER_38f05fde Lmaoo westbury is such a wack ass school #facts @USER_3eb11752 yeahh i am himme up RT @USER_ac054970: @USER_3e616ea2 chyanne shut upppp lol u tlkn nonsense -wrd chy money be quiet lol @USER_3fee065a LOL NOOO #imjussayin dnt eva try to get on me aqain talkn bout i dnt hit u up @USER_3eb11752 no ! @USER_9a9b855c lol overtime ! Ahhh let's get it we bout to get dis dubbb lmao Kobeeeeeeeeeee Oh yeahhhhhhh 11:11 make a wishhh RT @USER_d08e604d: #nowplaying hold yuh ; gyptian&lt;I swear everybody listens to dis songgg lol #ff my hotwings @USER_06a38c6b yall lol #ff @USER_d08e604d sum cool ell eye chick lol #ff my boii @USER_ec22dbeb his moon walk will hav u goin bananas !!!! #ff my boii @USER_4dc6ccf4 suffolk county champ riite here yall @USER_70a847ac lmao ohh stop frontin little one @USER_ec22dbeb lmaoo i had too dass the illest shyt ive seen since michael jackson ! #ff @USER_4e744558 cool ass uniondale chick #ff @USER_c0cfaecc anotha cute quiet follower lol @USER_b83067cd lmao it b like dat man @USER_07a73af9 elmont lml I knoee mad van heads lol u comin to. Tha party tonight or no? wheaa da hoess at?!??! @USER_20d9de32 lmaooo now that I think bout it u riite I ask stupid ass questions I swear @USER_38f05fde jump off a bridge =p @USER_38f05fde yes women lol @USER_48854253 -_______- @USER_0d5da0ca he not comin wit us he got his own ride dere Loso: I kill it from the back;deadass RT @USER_4a5ba987: Mad chicks in here son deadddaassss!!! we finna turn it up o maynee RT @USER_4a5ba987: Yo who fckin w/ this @USER_9caea090 shit tonight. Lookin lik its gonna b a live one @USER_630818f7 niqqa we gettin it innnnnnn @USER_98be9bea lmaooo stupidddd @USER_630818f7 me the twins eli and shaq championship game 2mm vs westbury at hofstra at 3 come thruuuuu !!!!!!!! $6 to get in @USER_f8fac3d9 ohh iiigh @USER_f8fac3d9 lmao we 17-2 #1 seed and hell yeahhh we bout to clap dese niqqas mann @USER_f8fac3d9 shyt was ohdee liveeeee mann @USER_f8fac3d9 ohhh iigh dass wassuppp den Neva seen so many bad bitches.....=x my fault I mean cute gurls in one facility ! @USER_77963b21 lmaoo shutupp u knoee ya armm was sore from dem punchesss @USER_45974504 yeahhh I'm str8 Jus woke up bout to hit up the barber !!!! @USER_4a5ba987 I'm goin wit uhm the team smh I'm tryna stay for the qame afta too..uniondale vs baldwin maddd bitchesss @USER_630818f7 yo ty I gotta talk to u when we get to tha skool lol u tightttttttttt @USER_46922d96 lol #honestly I dnt remeber anybody dere was too much gurls. To remeber lol I'm jus sickkk my phone died at the end smh @USER_b68350b2 ohhdee ! Lol das a good ass qame rite dere son @USER_46922d96 lol its cool ! I felt like I danced wit everybody n dere thoee lol @USER_f9ab444e watchu mean? @USER_45974504 3 @USER_f9ab444e yeah i went smh its gonna take me a long time to get ova dis @USER_f9ab444e me too bri smh i wanted dem to win this sooo baddd they worked so hard for it man @USER_adaea719 nahh buh i will be RT @USER_1eb7ca81: RT @USER_93f38144: OWWWWW. #shoutouts to #WESTMONEY and #UNIONDALE for taking the 'ship this year ayeeeeez!&lt;Smfh @USER_8d7adfd4 smh I seen sum niqqa get snuffed ! cant sleep smh jus layin in the dark thinkin bout alotta shit man @USER_0d5da0ca SMH CANT BELIEVE DIS SHYT IS OVA ! @USER_96bad73a yeahh buh jus bcuz i got nxt yr doesnt mean i aint wanna win smh im sickkkkkkkkkk @USER_48854253 both #nowplaying tupac-keep ya head up @USER_48854253 smh idk y u feel that way watchin youtube videos ! Goin to sleep now RT @USER_0f000fe4: Watching more than a game&lt;u got the dvd? RT @USER_3eb11752: the ball should of been in my hands most of the time ; but NOO !&lt;Ant chill wit dat shit man RT @USER_f9ab444e: All jokes aside tho , I kinda think @USER_1d7d70a1 should hve had the ball to .. In the clutch, but it's okay!&lt;He did !!! Ohdee nice outsidee todayy mann !!! I'm hype @USER_fa345f95 yeah fag lol @USER_fa345f95 lol yeahhh. U do ash ! U shud be proud RT @USER_656a61c8: basketball didnt feel the same today smh&lt;wrddd son smh RT @USER_1eb7ca81: Girls fighting is entertainment but i deadass be ready to cry when ii see guys fight its so scary!&lt;Haha wrd like yestuday @USER_630818f7 gotham me dwills domo rahquan kev mike jaquan medilick mad ppl son RT @USER_0f000fe4: @USER_630818f7 hell yea man me 2 I don't wanna stay on jvv so imma get stronger&lt;-_- u betta get ohde strong lmao Time for me to step up deadas ! Buht anyway where da fukk is @USER_96bad73a she aint hit me up all day ! I'm feeling sum type of way bout dat @USER_630818f7 igotchu ! @USER_df8dcbbf wassup gurl"
3323,USER_82f50279,2010-03-03T13:08:06,"ÜT: 44.983925,-93.259873",44.983925,-93.259873,@USER_d1032dce is there anything you can do to make that guy pay for it ?,Hennepin,111864.0,1171.0,"@USER_d1032dce is there anything you can do to make that guy pay for it ? I'm not affected by Verizon outage in Minnesota @USER_25d82f87 you prolly want to wait for Tour2/9650/bold it shuld be comin soon @USER_d1032dce go for it man hope you will :D @USER_be86806a what's up ? @USER_968af98a just having late lunch, what about you big plans for tomorrow? @USER_968af98a agree 100% with you on that bro :D @USER_d1032dce awesome :D Morning tweeps @USER_d1032dce thx for #FF bro @USER_6d1ff694 morning how was your trip? @USER_6e9014be lmao i was just kidding ya&lt; but on the other hand why don't ya?;) @USER_652bea69 or you can try Master Control BlackBerry program I have a link for it if you want @USER_d1032dce hey buddy how was the party ? @USER_d1032dce you are party animal lol :D @USER_a0de2f1e oh what do you expect from Walmart lol @USER_d1032dce :D @USER_6d16c807 yeah I know my first was 8130 pearl now Tour waiting for something new lol @USER_6d16c807 btw how long ago that was ? @USER_4f1e2ee4 Morning BT hope you have a nice day too :) @USER_a0de2f1e oh i hope it will be soon for you :D @USER_4f1e2ee4 good for you enjoy the moment cause time fly my friend ;)"
4068,USER_656fb475,2010-03-02T23:21:36,"ÜT: 40.452485,-79.936759",40.452485,-79.936759,RT @USER_bd49ede3: DJ khalad gets the award for the corniest dude by far RT RT RT,Allegheny,104247.0,1161.0,"RT @USER_bd49ede3: DJ khalad gets the award for the corniest dude by far RT RT RT Bout 2 watch dese bum ass lakers .... Probly not 4 long doe idk how much of dese bums I can stomach smh @USER_aeceb6b7 rite lol Idk he gat his apron joint on doe he was probly at the store or sum shit #RollUp Trap Kinda Slow Ima Make Dis Trap Hot F R Double E, Free My Nigga H O V (flock voice) Its 2 early 2 b dis high smh *kanyeshrug* #nowplaying gorgeous - gucci ......... Dis song remind me of @USER_f9cf7817 smh :) ..... Twit Pic Lmao @ frank smh dis dude is hilarious @USER_6163949a is the fuccin best cuz #Homies .... ""Gat me n the car melo fuccin wit dat lala"" smh Tell em play my song quick & we goin make a fuccin movie like porn fliiiiiiccccccckkkkkk SMH Shawty I was born slick, short temper long dick, hit u dis magic stic, after dat b gone trrrriiiiiiccccckkkk SMDH Rick Ross Dj Khaled & Triple C's #realthugs LMFAO I'm Here Pretty Ricky #realthugs lol 7:30 Bitches .... Let's Go Cavs!!! Bron goin drop 100 2nite Jamario (spell check) MAGIC LMFAO ... #WHATAPASS BRON ITS THE KING BITCH!!! .. Coast 2 Coast @USER_1c0762f8 lmao he knows better den 2 try dat @USER_1c0762f8 if u can dish out jokes I hope u can take em cuz u roast me ima roast u #imjussayin Magic Lmao 2 EZ Jus 2 EZ Subway Eat Fresh Leaf Dutches Is Thee Best .... Vanilla joint burnin extra slow rite now ima b High hi ha hi hi High (katt Williams voice) Haha .. Yall Funny As Hell I think I'm bout 2 get fired fuccin wit twitter smh brb @USER_b23763c3 idk mite b on 2 the next job cuz I'm pretty sure dat test aint comin bac good Outta all the shit I tweet I'm bout 2 retweet wat dey fuccin wit me 4 smh .... Ima take my niggas name out doe @USER_68b707aa fucc yea I hate dat bitch 2"
4122,USER_ee2fbcce,2010-03-03T05:07:05,"ÜT: 39.964237,-75.145475",39.964237,-75.145475,Bout ta make a Wawa run 2night!,Philadelphia,86637.0,1195.0,"Bout ta make a Wawa run 2night! #FAMU I just hope my lil cuz and my lil youngin aint involved n that tape @USER_0f33cdc1 DM me your email address so I can send the app @USER_3d37f6e4 mediatakeout.com @USER_2fa39fd2 Aint you suppose to be in Miami at ur Aunt's! LOL! Now is when I think about what I'm gonna wear to work 2moro. Shyt! Another day of work @USER_a2f7aed4 @USER_948d9fbe @USER_749f8772 we saw ya walking on Collins towards the club Just me and my Brother RT @USER_948d9fbe: Yo I was so fried on the beach that day first Miami trip spur of the moment wit @USER_5f209f3d was epic #SO RT @USER_e8624c2d: #FF my BMORE &hearts; @USER_0717ce30 @USER_561de035 @USER_8416b99d @USER_f8b2b3d2 @USER_61cb0695 @USER_5f209f3d @USER_322f53d3 @USER_ee36d971 I met this 2 bruhz while on Spring Break! LOL! @USER_948d9fbe J @USER_e2240c3c waddup bruh! I aint kno who the fuck it was @USER_e2240c3c That's what up! Yea ya made sure niggas knew, 4 fuckn yrs. I need to make it home some time just to b in the City So the car wash on Spring Garden closed and all the Mexican workers are chilln on the corner of Spring Garden and 9th, LOL Accountant here! RT @USER_c3db3584: people searching for mermaids now? watever happened to real jobs like lawyer and accountant @USER_f200cee0 Remember Charlamaine tha god from Power99 I'm takn bets that these team captains don't tell it all! @USER_7a4df339 I been here! LOL RT @USER_7a4df339: where are the men of Omega Psi Phi?!? &lt;-- yall need to get on twitter......we only know 2 of yall RT @USER_322f53d3: AS A MAN THERE 3 THINGS YOU DON'T MESS WITH --------------HIS MOTHER------HIS CAR----------------AND HIS MONEY-------------- ... Hopefully this Office for Mac Download really works #teamblackberry pin:30D5530C #Baltimore Packed Malls on Sunday in your Sunday's Best(non-church clothing) If you need a copy of Office 2008 for MAC, holla at me! @USER_5f92ee09 u had one? what happen to it?"
4241,USER_52cbf293,2010-03-04T01:51:35,"ÜT: 28.045349,-82.504544",28.045349,-82.504544,@USER_f7fcd7ff you are a TRIP!!!,Hillsborough,93247.0,1365.0,"@USER_876f5982 HEADED IN THAT DIRECTION NOW!! @USER_1e051632 great stuff! REAL TALK!! Its definitely reaching out to your fans!! SA ALL DAY!!! @USER_f7fcd7ff you are a TRIP!!! @USER_876f5982 one of my fav lines ""you don't know about me/you don't know my life/ you don't know everything I go thru to write"" I have to check out DOOMTREE when I get home. She's new to me. and she got skills. @USER_45ef34f2 I would be all over that Style P/ Staik joint! @USER_4160b297 peepin out the site. So far i like what i see!! Downloading some things now. @USER_d0c678cc YES IT IS!!! Hook a brother up! REALITY = Rhymes Equal Actual Life In The Youth. @USER_eb202520 the song that says ""put your head up to the speakers"" RT @USER_8a819c66: #CrownofThorns Hey... I've been locked in the lab with @USER_b3178f0c for 2 days. Who leaked ""Delilah""? ; ] man........grindtime was made to make a homie lose sleep!!! RT @USER_ee3f487b: If I heard Planet Rock off a blog at work,dunno if I would've felt it. #playrapLOUD. RT @USER_ee3f487b: Jimi didn't like his voice. If you don't like yours,maybe other people will... How is SOCOM 4 coming out? I thought we were at like #6 or 7. RT @USER_5aac9e88: Many couple mistakenly plan a fairy tale wedding,, when the real focus should be a fairy tale life 2gether @USER_fe5b09d8 I need a clean version of the new joints. Any chance of that? If not, there's always my ""soundbooth"" software. @USER_fe5b09d8 HA! #LEGENDSALLDAY @USER_a6e66d4d Anything MF DOOM is a must to have physically. :-) His covers always have some art going on. @USER_a6e66d4d also FREEWAY brought back lyrics in the album cover! That's hot! @USER_901fc278 Yo lets roll!!!! Been waiting on that!!! RT @USER_448ec342: #nowplaying Reflection Eternal ""In this World"" is the shit! RT @USER_5aac9e88: Be different! Take a chance! If from the start every1 agrees with ur idea,, it probably wont be the BIGGEST smash There's got to be a name for those T-shirts that turn into the shape of a SQUARE after you wash them. #gildanultrashirts Step your game up! @USER_a099f056 Waiting for YEAROFTHEBLACKSMITH.com to host new video instead of MYSPACE."
4755,USER_bde42a0e,2010-03-02T22:42:16,"ÜT: 29.759446,-95.367406",29.759446,-95.367406,I'm good,Harris,101565.0,1367.0,"I'm good @USER_c0573007 ya car gonna be gone for like 5 days doe Give her two red roses, each with a note. The first note says For the woman I love and the second, For my best friend. @USER_88c33afd lol dnt play. #CocaineCowboys #random I'm back fresh off work Talkin to @USER_8bc2c218 about some shit jus can't put on twitter hehe To hustle is hard work u really gotta want it RT @USER_994743a7: #TweetsIDGAFabout how much you hate your job! &lt;&lt;WELL QUIT THEN, U CAN'T! SO STFU. @USER_2cb494da u was lol RT @USER_eb4fd9a9: Everybody always wants to pick on the #babydaddys but the #babymamas are just as guilty. #FF @USER_2cb494da @USER_5575c36a @USER_1ab87368 :-) @USER_994743a7 got that bootydo Stop* RT @USER_5575c36a: Ladies #FF my nigga @USER_bde42a0e RT @USER_d68b329d: @USER_bde42a0e cook it fr me && make u aside dish .! • What's in it fa me PANDORa going off SUC radio @USER_d68b329d ant that easy I'm not even home in u gotta go get the shit then ill cook it RT @USER_d68b329d: #ff @USER_bde42a0e my cuzzn,even though he really starting too piss mee off like everyday !* RT @USER_e11f2031: Commin to u live from the blocc@a2igang @USER_bde42a0e @USER_5a56b13c @USER_de6bf5cc @USER_d68b329d I'm not home any more smh I wanna see yall ima cry @USER_d68b329d where at wit who @USER_8f3320ee lol ok ill send it to your phone Keep on asking and you will receive what you ask for. Keep on seeking and u will find. Keep on knocking and the door will be opened to u"
6709,USER_7468add0,2010-03-03T19:12:23,"ÜT: 38.960329,-77.02818",38.960329,-77.02818,@USER_0931469a Eff them. #thatisall,District of Columbia,93004.0,1456.0,"@USER_0931469a Eff them. #thatisall @USER_58aa0228 Oh and #bigfacedgrin at those comments. Whoo Hoo!! @USER_58aa0228 You know folks gotta be extra at every turn. #amen Last year, I made one up. Uh-huh. Sure did. RT @USER_88859e0e I'll admit it, I'm pissed that I don't have a spring break any more :( @USER_ceda5a17 Dag. I haven't had flaming hots since like 2003 prolly. I bet they would mess me up! @USER_9ba8f448 Red Velvet from GiGi's OBVIOUSLY. Yes!! @USER_1b82871d LOL. Right, right, but radio wasn't hearin' em. AND we can thank that remix for why MaryMary got the ""Blame It"" beat @USER_c47410d7 I'm with you, pimpin. Her #priorities are wack. You'd rather your husband sleep around than discipline your kids? #ridic @USER_cbecce2e Unless Biggie left Bad Boy, he wouldn't have evolved. @USER_22256f92 how much longer til you drag covey on Twitter? @@USER_aa8cc939 @USER_221139ad AI is on some mess this year. Idk what happened. Did we find all the singers in America already? @USER_c9de3ae4 Fun in downtown bmore you say? Why yes, yes. I can schedule that in! and then she spoke #truth RT @USER_c7a824b8 The internet has made it so you hear songs from artists that you should never have to hear. So back in the day when I had a radio show, I went by DJ Smash. iMight go back to that. can we put a character limit on folks stage names? RT @USER_1b82871d: My girl @USER_7468add0 thought of a good idea: character limits on stage names...who else has a long a** name, taking up the ... What she said RT @USER_ba25aa00 @USER_ba30f160 link. stat. #watching In Living Color #speaktomysoulLord RT @USER_1a1e7f71: I want a chilli cheese dog Did I mention I'm pissed ABCFamily canceled Lincoln Heights?? I am. @USER_0931469a check u out. Double booked for b-day parties. :) Got to RT @USER_0e55d3b4: RT RT @USER_4acab17e: #randomthought how many of yall keep a # saved in ur phone just so u know not to answer it?"
